case_number,location,state
2018.06.25,"Oceanside, San Diego County",CA
2018.06.18,"St. Simon Island, Glynn County",GA
2018.06.09,"Habush, Oahu",HI
2018.05.27,"Lighhouse Point Park, Ponce Inlet, Volusia County",FL
2018.05.26.b,"Cocoa Beach, Brevard  County",FL
2018.05.26.a,"Daytona Beach, Volusia County",FL
2018.05.21,"Isle of Palms,  Charleston County",SC
2018.05.13.b,"Hilton Head Island, Beaufort County",SC
2018.04.19,"Shipwreck’s Beach, Keoneloa Bay, Kauai",HI
2018.03.31,Kukio Beach,HI
2017.12.31,"Hultin's Beach, Oahu",HI
2017.12.30,"Drakes Estero, Point Reyes, Marin County",CA
2017.11.24,"Stillwater Cove, Monterey County",CA
2017.11.18,"Floridana Beach, Brevard County",FL
2017.10.26,"White Plains Beach, Oahu",HI
2017.10.23.b,"Juno Beach, Palm Beach County",FL
2017.10.23.a,"Ocean Reef Park, Singer Island, Palm Beach County",FL
2017.10.18,"Lantana Beach, Palm Beach County",FL
2017.10.09,"Davidsons Beach, Kekaha, Kauai",HI
2017.10.05,"Kama‘ole Beach Park, Maui ",HI
2017.09.25.b,"Hanna Park, Jacksonville, Duval County",FL
2017.09.24.b,Rockaway,NY
2017.09.24.a,Fort Worth,FL
2017.09.20,Palm Beach County,FL
2017.09.16.a,"Ponce Inlet, Volusia County",FL
2017.09.13,"Ponce Inlet, Volusia County",FL
2017.09.02.c,"Marathon, Monroe County",FL
2017.09.02.b,"South Padre Island, Cameron County",TX
2017.09.02.a,"New Smyrna Beach, Volusia County",FL
2017.08.27,Bathtub Beach ,FL
2017.08.23,"Marconi Beach, Wellfleet, Barnstable County",MA
2017.08.10,"Sea Pines Resort, Hilton Head Island, Beaufort County",SC
2017.08.03,"Menauhant Beach, Falmouth,
Barnstable County",MA
2017.08.01,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",CA
2017.07.31,"Jacksonvlle, Duval County",FL
2017.07.29.c,"Hilton Head Island, Beaufort County",SC
2017.07.29.a,"DeBordieu Colony, Georgetown County",SC
2017.07.23.b,Ventnor,NJ
2017.07.22,"Snipes Point, Monroe County",FL
2017.07.20.c,"Hilton Head Island, Beaufort County",SC
